"store_id","date","weekly_sales","prev_week_sales","rev_perc"
12,"2011-12-02","1071383.10","1591920.42","-0.327"
12,"2011-12-30","1111638.07","1617612.03","-0.313"
13,"2010-12-03","2083379.89","2766400.05","-0.247"
13,"2010-12-31","1675292.00","3595903.20","-0.534"
13,"2011-12-02","2051315.66","2864170.61","-0.284"
13,"2011-12-30","1969056.91","3556766.03","-0.446"
14,"2010-02-12","1704218.84","2623469.95","-0.350"
14,"2010-12-03","2258489.63","2921709.71","-0.227"
14,"2010-12-31","1623716.46","3818686.45","-0.575"
14,"2011-09-02","1750891.47","2273470.62","-0.230"
14,"2011-12-02","2143080.57","2685351.81","-0.202"
14,"2011-12-30","1914148.89","3369068.99","-0.432"
15,"2010-12-03","754134.95","1120018.92","-0.327"
15,"2010-12-31","543754.17","1368318.17","-0.603"
15,"2011-12-02","699028.66","1066478.10","-0.345"
15,"2011-12-30","603460.79","1182691.87","-0.490"
16,"2010-12-03","512260.59","651837.77","-0.214"
16,"2010-12-31","575317.38","1004730.69","-0.427"
16,"2011-12-02","530492.84","712422.40","-0.255"
16,"2011-12-30","665861.06","950691.96","-0.300"
17,"2010-09-17","871264.25","1200888.28","-0.274"
17,"2010-12-31","635862.55","1309226.79","-0.514"
17,"2011-01-14","758510.36","1083071.14","-0.300"
17,"2011-04-29","806979.15","1060770.11","-0.239"
17,"2011-12-02","945267.68","1225700.28","-0.229"
17,"2011-12-30","777207.30","1289156.90","-0.397"
17,"2012-01-13","873576.96","1198104.22","-0.271"
18,"2010-12-03","1211026.13","1653759.36","-0.268"
18,"2010-12-31","887907.01","2027507.15","-0.562"
18,"2011-09-02","540922.94","1147906.46","-0.529"
18,"2011-12-02","1188047.61","1624170.99","-0.269"
18,"2011-12-30","1010562.49","1882393.40","-0.463"
19,"2010-12-31","1275146.94","2678206.42","-0.524"
19,"2011-12-02","1484708.38","1974646.78","-0.248"
19,"2011-12-30","1405168.06","2480159.47","-0.433"
20,"2010-12-31","1799737.79","3766687.43","-0.522"
20,"2011-12-02","2298776.83","2906233.25","-0.209"
20,"2011-12-30","2043245.00","3555371.03","-0.425"
20,"2012-04-13","2045396.06","2565259.92","-0.203"
21,"2010-12-03","829210.73","1245628.61","-0.334"
21,"2010-12-31","672903.23","1587257.78","-0.576"
21,"2011-12-02","793184.25","1219263.40","-0.349"
21,"2011-12-30","804362.36","1384552.17","-0.419"
21,"2012-01-06","640181.86","804362.36","-0.204"
22,"2010-12-03","1230514.58","1564502.26","-0.213"
22,"2010-12-31","774262.28","1962445.04","-0.605"
22,"2011-09-02","912762.76","1181815.31","-0.228"
22,"2011-12-02","1167621.14","1535857.49","-0.240"
22,"2011-12-30","982661.14","1863195.68","-0.473"
22,"2012-04-13","939118.24","1197489.66","-0.216"
23,"2010-12-03","1617025.41","2072685.05","-0.220"
23,"2010-12-31","1169773.85","2734277.10","-0.572"
23,"2011-12-02","1552886.59","2057059.53","-0.245"
23,"2011-12-30","1213486.95","2587953.32","-0.531"
23,"2012-04-13","1231752.54","1604605.69","-0.232"
24,"2010-12-03","1413302.70","1779276.51","-0.206"
24,"2010-12-31","1208600.05","2386015.75","-0.493"
24,"2011-12-02","1335647.10","1761235.67","-0.242"
24,"2011-12-30","1363973.16","2168344.23","-0.371"
25,"2010-12-03","885572.96","1115240.61","-0.206"
25,"2010-12-31","623092.54","1295391.19","-0.519"
25,"2011-12-02","878314.57","1116211.39","-0.213"
25,"2011-12-30","683665.37","1290532.97","-0.470"
26,"2010-12-03","1016143.64","1286833.62","-0.210"
26,"2010-12-31","877268.29","1573982.47","-0.443"
26,"2011-12-02","1012498.49","1282320.05","-0.210"
26,"2011-12-30","972834.42","1515175.01","-0.358"
26,"2012-04-13","889670.29","1116829.23","-0.203"
27,"2010-02-26","1390934.27","1945070.33","-0.285"
27,"2010-12-03","1884343.67","2627910.75","-0.283"
27,"2010-12-31","1440963.00","3078162.08","-0.532"
27,"2011-09-02","1511717.53","2034400.78","-0.257"
27,"2011-12-02","1806924.74","2504400.71","-0.279"
27,"2011-12-30","1650604.60","2739019.75","-0.397"
28,"2010-12-03","1447916.29","1937033.50","-0.253"
28,"2010-12-31","1090558.57","2026026.39","-0.462"
28,"2011-01-14","1098286.61","1402902.47","-0.217"
28,"2011-08-12","1218764.94","1523870.89","-0.200"
28,"2011-10-14","1220984.94","1557314.58","-0.216"
28,"2011-12-02","1368130.35","1929738.27","-0.291"
28,"2011-12-30","1270036.53","1796203.51","-0.293"
28,"2012-01-13","1161190.29","1466046.07","-0.208"
28,"2012-03-16","1337875.49","1680764.06","-0.204"
28,"2012-07-13","1179915.04","1500863.54","-0.214"
28,"2012-09-14","1124660.77","1469693.99","-0.235"
29,"2010-12-03","642678.53","975268.91","-0.341"
29,"2010-12-31","465992.02","1130926.79","-0.588"
29,"2011-12-02","579874.22","913165.19","-0.365"
29,"2011-12-30","551743.05","1016637.39","-0.457"
30,"2010-12-31","397631.02","519354.88","-0.234"
30,"2011-12-30","376777.45","492022.68","-0.234"
31,"2010-12-03","1338716.37","1858856.06","-0.280"
31,"2010-12-31","1198071.60","2068942.97","-0.421"
31,"2011-12-02","1388809.43","1934099.65","-0.282"
31,"2011-12-30","1355405.95","2026176.14","-0.331"
32,"2010-12-03","1200892.56","1634635.86","-0.265"
32,"2010-12-31","955463.84","1949183.14","-0.510"
32,"2011-12-02","1179773.88","1684468.66","-0.300"
32,"2011-12-30","1102367.65","1959526.96","-0.437"
34,"2010-12-03","1001512.21","1309476.68","-0.235"
34,"2010-12-31","902109.69","1620748.25","-0.443"
34,"2011-12-02","988742.08","1345595.82","-0.265"
34,"2011-12-30","965512.36","1593655.96","-0.394"
35,"2010-12-03","982598.88","1781866.98","-0.449"
35,"2010-12-31","576332.05","1779236.54","-0.676"
35,"2011-12-02","903606.03","1733822.40","-0.479"
35,"2011-12-30","904650.55","1550214.02","-0.416"
35,"2012-01-06","671708.09","904650.55","-0.257"
37,"2010-12-31","460331.70","576809.92","-0.202"
37,"2011-12-30","451327.61","605791.46","-0.255"
39,"2010-12-03","1431910.98","2149355.20","-0.334"
39,"2010-12-31","1230012.16","2495489.25","-0.507"
39,"2011-12-02","1632894.58","2338832.40","-0.302"
39,"2011-12-30","1537139.56","2554482.84","-0.398"
40,"2010-12-31","811318.30","1648829.18","-0.508"
40,"2011-12-30","908853.15","1601585.70","-0.433"
40,"2012-04-13","857811.17","1132064.23","-0.242"
41,"2010-12-03","1220115.75","1866681.57","-0.346"
41,"2010-12-31","1001790.16","2225016.73","-0.550"
41,"2011-12-02","1292436.23","1906713.35","-0.322"
41,"2011-12-30","1264014.16","2263722.68","-0.442"
42,"2010-12-31","428953.60","555075.27","-0.227"
42,"2011-12-30","454412.28","575676.13","-0.211"
43,"2011-12-30","505405.85","676290.46","-0.253"
44,"2010-12-31","241937.11","365098.24","-0.337"
44,"2011-12-30","263917.85","376233.89","-0.299"
45,"2010-02-12","656988.64","890689.51","-0.262"
45,"2010-12-03","879244.90","1182500.16","-0.256"
45,"2010-12-31","679156.20","1682862.03","-0.596"
45,"2011-12-02","875699.81","1170672.94","-0.252"
45,"2011-12-30","869403.63","1521957.99","-0.429"
